sender,receiver,edge_type
japan_lawson,nana6ru,reply
AlisonHapka,vawolb,reply
LGates_science,wiscileaders,reply
2footgiraffe,BK3DSci,reply
LGates_science,c_leece,reply
cdepatie1,vawolb,reply
AJZ_313,2footgiraffe,reply
BK3DSci,2footgiraffe,reply
LGates_science,JennySarna,reply
2footgiraffe,JennySarna,reply
melshep34,JennySarna,reply
MsLorisStory,BK3DSci,reply
NVSciguy,TdiShelton,reply
AlisonHapka,Neelosol,reply
TdiShelton,NVSciguy,reply
Demetrice_S,nextgenscience,reply
TdiShelton,jrosenberg6432,reply
nextgenscience,nextgenscience,reply
Demetrice_S,nextgenscience,reply
SHChemistry,BK3DSci,reply
melshep34,Neelosol,reply
TdiShelton,bbarent,reply
scottaphillips,SteveKrak,reply
LGates_science,MsLorisStory,reply
SHChemistry,sbottasullivan,reply
TdiShelton,TedWillard2061,reply
TdiShelton,c_leece,reply
TdiShelton,SHChemistry,reply
ltblume,sunforharry_,reply
killmyparty,tbslblurry,reply
jessyperdomo6,TeamDennis4,reply
LGates_science,nextgenscience,reply
nextgenscience,nextgenscience,reply
fuddnjs00,gongsy77326,reply
melshep34,teacher2teacher,reply
codom0ne23,az_WGB,reply
Yousif_M01,Nibellion,reply
rvccngss,rvccngss,reply
FrancesWilkes7,for6iv3n,reply
SephaliThakkar,TedWillard2061,reply
R2DA_N00B,datonestarfox2,reply
melshep34,ejhudson,reply
ZamoraGerardo18,edwiin_hdz,reply
TechWithBecky,GlobalGEG,reply
frankmcgowa,wandabryant,reply
CarolLyle4,i_nautilus,reply
OfficialNGSS,OfficialNGSS,reply
sadlersci,JessicaFGWrites,reply
cjcochrane21,BRLowell,reply
JenSchrijft,Kimstert77,reply
uniteunderone,AlexKane_420,reply
LiquidMagician,SonOfMacedon_,reply
moment4life500,MAContrera217,reply
LoyolaELL,LeahPeitzmann,reply
JessicaFGWrites,JessicaFGWrites,reply
JessicaFGWrites,JessicaFGWrites,reply
JessicaFGWrites,JessicaFGWrites,reply
TechieSciGuy,JessicaFGWrites,reply
1Realnatalee,stickelz,reply
PRODBYCB97s,linowhitecat,reply
JessicaFGWrites,juliekidsbooks,reply
juliekidsbooks,JessicaFGWrites,reply
drloriandersen,drloriandersen,reply
drloriandersen,drloriandersen,reply
drloriandersen,drloriandersen,reply
drloriandersen,drloriandersen,reply
CassaroSofia,EricaMouralk,reply
angelalynn37,DWitchygirl,reply
abrantie_mubtee,factcheck_ghana,reply
Oksendaz,tubbo_wubbo_uwu,reply
posoem,DrewHolden360,reply
disevs,doyourthang_bts,reply
sadlersci,NGSS_tweeps,reply
racheljcox87,thinksci,reply
CK12Foundation,sciresSoehl,reply
Erhan11232008,OzlemAgirmanTR,reply
philiplbell,philiplbell,reply
