sender,receiver,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat
kimmomteacher,wandabryant,Teacher,NA,Monthly,3 years or more,Average,Average,Average,Once a week
krsciencelady,reiserbrianj,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,reiserbrianj,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
hhereau,philiplbell,Organization,coach,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly
annamccarroll,ashlryblock,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
cariwilliamz,scijeanne,Instructional Leader,researcher,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Once a week
krsciencelady,tjscience,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,tjscience,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
raazzerah,starrscience,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Daily
leena219,okheelee_,NA,NA,NA,NA,NA,NA,NA,NA
krademaker,bmsscienceteach,Organization,consultant,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
33heupel,ngssfresno,Teacher,NA,Participated once or twice,3 years or more,Average,Average,Average,Frequency of use varies (please describe)
kollmanrebecca,ngssfresno,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Good,Once a week
tkatovich,krsciencelady,Teacher,NA,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Monthly
missdematteo,timbrzezinski,Organization,NA,Monthly,2- 3 years,Average,Good,Average,2-3 times a week
calliescience,bmsscienceteach,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
bowtie_sciguy,keithpiccard,NA,NA,NA,NA,NA,NA,NA,NA
dramyhimes,ngssfresno,NA,NA,NA,NA,NA,NA,NA,NA
frizzlerichard,wandabryant,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
