"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"kimmomteacher",35,7976.11591645483,6,742.760383997312,9,1017.40816265004,20,8009.40375943162,TRUE,0,0,"Teacher",NA,"Every other week","1- 2 years","Average","Average","Average","Once a week","Teacher"
"savvaslearning",35,31678.5691033545,NA,NA,15,0,20,30505.9301643317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phaneritic",34,59558.329452155,2,0,10,10723.7537601959,22,58315.5148787796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"digitaltidepool",34,22748.7377051999,1,1277.87779604986,9,0,24,23444.4449719817,TRUE,5,81.8333333333333,"Teacher",NA,"Participated once or twice","3 years or more","Good","Good","Good","Monthly","Teacher"
"meganrelmore",34,16831.9777981021,4,0,10,0,20,16890.3766938771,TRUE,3,58,"Teacher","teacher","Every other week","3 years or more","Good","Good","Good","Monthly","Teacher"
"windwardcte",34,28125.3842913852,NA,NA,17,0,17,28024.9008672022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"labaids",32,23243.435148677,NA,NA,9,2409.54623741964,23,23194.35949476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ibchemninja",32,0,NA,NA,14,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unavco",32,0,NA,NA,NA,NA,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"create4stem",31,34844.6178027311,0,0,1,2693,30,36506.0713786033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ameliagotwals",31,7674.89343346115,NA,NA,13,3724.09174062522,18,7122.74266639314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oceansofdata",31,13328.1344422733,NA,NA,15,1976,16,13302.9304494263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amydownsamy",30,34842.129844778,NA,NA,15,0,15,34304.0451336168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nwea",30,0,1,0,14,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngssblogs",30,0,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"safarnum",29,65787.2115670971,4,4245.9217787974,10,18779.8753413463,15,61271.6805582483,TRUE,0,0,"Teacher",NA,"Monthly","3 years or more","Excellent","Excellent","Excellent","Once a week","Teacher"
"sciedspence",29,10740.9012830075,5,1049,8,746.675948850413,16,10397.9789433226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"discoveryed",29,0,NA,NA,1,0,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"youtube",29,0,NA,NA,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c",29,0,NA,NA,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jessicafgwrites",28,29670.4105137125,28,6037.93971340746,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"katemcneill6",28,45705.1272692271,1,246.199421631001,4,49.1625115341579,23,46825.2040522935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctscience",28,20769.218453066,NA,NA,6,3812.05723131917,22,23039.6774488025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngssmademedoit",28,39031.890035881,NA,NA,13,2334.49449670111,15,38199.1892653164,TRUE,0,0,"Teacher",NA,"Every other week","3 years or more","Average","Good","Average","Daily","Teacher"
"sdngss",28,2193.28536338856,NA,NA,6,12162.8278602864,22,1826.02279089523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jenbreslergps",28,13663,NA,NA,14,0,14,13261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realdonaldtrump",28,0,1,0,3,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amplify",28,0,NA,NA,3,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stemscopes",28,0,NA,NA,11,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missdematteo",27,6249.96756911123,6,0,10,1603.79640434935,11,6274.31502603884,TRUE,2,126.5,"Organization",NA,"Monthly","2- 3 years","Average","Good","Average","2-3 times a week","Organization"
"edreports",27,22826.4656958146,1,0,10,1462.04570962809,16,22588.3061222632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uclacenterx",27,38844.0365674234,NA,NA,0,0,27,45888.3665897833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"csba_now",26,15866.2950438109,3,0,9,2181.60151515151,14,15416.6694376905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
